effect,variant,model,r_sim,n_scored,parse_rate,at_ceiling
Aryani2020_word_arousal,A,sonnet45,0.99950856625259,60,1.0,True
Aryani2020_word_arousal,B,sonnet45,0.9973409530047046,60,1.0,True
Asch1946_warm_cold,A,sonnet45,0.9814300224067899,60,1.0,True
Asch1946_warm_cold,B,sonnet45,0.9271414395159686,60,1.0,False
BlackBarnes2015_transportation,A,sonnet45,0.9907766510723846,60,1.0,True
BlackBarnes2015_transportation,B,sonnet45,0.8282047063453483,60,1.0,False
Cao2018_bayesian_pilot,A,sonnet45,0.8437205738748232,59,1.0,False
Cao2018_bayesian_pilot,B,sonnet45,0.9998709333716043,55,0.9833333333333333,True
FathKay2018_hierarchy_corruption,A,sonnet45,,30,0.5,
FathKay2018_hierarchy_corruption,B,sonnet45,0.893495791040368,60,1.0,False
Hoorens2015_more_less_asymmetry,A,sonnet45,0.9346850139949983,60,1.0,False
Hoorens2015_more_less_asymmetry,B,sonnet45,0.9955570494739152,60,1.0,True
John2016_hiding_information,A,sonnet45,0.8064516108731379,59,0.9833333333333333,False
John2016_hiding_information,B,sonnet45,0.9949331687769066,60,1.0,True
Klink2000_soundsymbolism,A,sonnet45,0.8232200470349034,60,1.0,False
Klink2000_soundsymbolism,B,sonnet45,0.8859775325940374,60,1.0,False
Knobe2003_side_effect,A,sonnet45,0.99802968076799,56,0.9333333333333333,True
Knobe2003_side_effect,B,sonnet45,0.9684958850298002,60,1.0,True
Miyamoto2002_correspondence_bias,A,sonnet45,0.9987571905603079,60,1.0,True
Miyamoto2002_correspondence_bias,B,sonnet45,0.991494381906854,60,1.0,True
Rottenstreich2001_affective_lottery,A,sonnet45,0.0,60,1.0,False
Rottenstreich2001_affective_lottery,B,sonnet45,0.0,59,0.9833333333333333,False
Tamir2012_selfdisclosure,A,sonnet45,-0.7732405150113105,60,1.0,False
Tamir2012_selfdisclosure,B,sonnet45,-0.9730098176986832,60,1.0,True
Valdesolo2007_hypocrisy,A,sonnet45,0.9284766908852593,60,1.0,False
Valdesolo2007_hypocrisy,B,sonnet45,0.5740800593000993,60,1.0,False
Weinstein1984_comparative_optimism,A,sonnet45,0.9889633556231855,60,1.0,True
Weinstein1984_comparative_optimism,B,sonnet45,0.9891294152666268,60,1.0,True
