effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,33,0.825,0.825,33,40,0,7,0,1.0,phi,2,zero_variance
Asch1946_warm_cold,B,0.9999999999999999,0.9999999999999999,0.9999999999999999,27,0.675,0.675,27,40,0,13,0,1.0,phi,2,low_parse;zero_variance
Chao2017_thankyou_gift,A,0.0,0.0,0.0,40,1.0,1.0,27,40,0,0,0,1.0,phi,2,n_offcontrast=13;zero_variance
Chao2017_thankyou_gift,B,0.39009474880274697,0.0,0.5916079783099616,39,0.975,,26,40,0,1,1,1.0,phi,1,prose_refusals=1;custom_parser;n_offcontrast=13;zero_variance
Cooney2016_fairness,A,0.0,0.0,0.0,40,1.0,1.0,40,40,0,0,0,1.0,between,2,zero_variance
Cooney2016_fairness,B,0.1601281538050866,0.0,0.28474739872574956,40,1.0,1.0,40,40,0,0,0,1.0,between,1,zero_variance
Eyal2008_moral_distance,A,-0.8597269536210952,-1.0,-0.7337993857053426,40,1.0,1.0,40,40,0,0,0,1.0,between,1,zero_variance
Eyal2008_moral_distance,B,-0.16012815380508663,-0.28474739872575,0.0,40,1.0,0.95,40,40,0,0,0,2.0,between,1,zero_variance
Genschow2017_free_will_attribution,A,-0.42732738696715206,-0.6375934255298737,-0.17887997215277263,40,1.0,1.0,40,40,0,0,0,1.0,between,0,
Genschow2017_free_will_attribution,B,-0.7793660914004275,-0.9323669351253089,-0.6029846457887286,39,0.975,0.975,39,40,0,1,0,1.0,between,0,
Husnu2010_imagined_contact,A,0.8404666743280635,0.7161148740394327,0.9781457231645829,40,1.0,1.0,40,40,0,0,0,1.0,between,1,zero_variance
Husnu2010_imagined_contact,B,0.9558261850873107,0.9082951062292466,1.0,33,0.825,0.825,33,40,0,7,3,1.0,between,1,prose_refusals=3;zero_variance
Klink2000_soundsymbolism,A,0.9960238411119947,0.9935108497516658,0.998274373174996,40,1.0,1.0,40,40,0,0,0,1.0,paired_zero,0,
Klink2000_soundsymbolism,B,0.9951052080056662,0.9860533131446982,1.0,16,0.4,0.4,16,40,0,24,0,1.0,paired_zero,0,low_parse
Knobe2003_side_effect,A,,,,0,,,0,0,40,0,0,,phi,0,refusals=40;no_contrast
Knobe2003_side_effect,B,0.1601281538050872,0.0,0.2847473987257498,40,1.0,1.0,40,40,0,0,0,1.0,phi,1,zero_variance
Miyamoto2002_correspondence_bias,A,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1.0,between,2,zero_variance
Miyamoto2002_correspondence_bias,B,1.0,1.0,1.0,40,1.0,1.0,40,40,0,0,0,1.0,between,2,zero_variance
Oppenheimer2009_retrospective_gambler,A,0.8519213859248222,0.7691849455361505,1.0,40,1.0,1.0,27,40,0,0,0,1.0,between,1,n_offcontrast=13;zero_variance
Oppenheimer2009_retrospective_gambler,B,0.8145919478707099,0.6919053632356148,0.9309925409026089,40,1.0,1.0,27,40,0,0,0,1.0,between,0,n_offcontrast=13
Rottenstreich2001_affective_lottery,A,0.0,0.0,0.0,40,1.0,1.0,40,40,0,0,0,1.0,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,0.0,0.0,0.0,40,1.0,1.0,40,40,0,0,0,1.0,phi,2,zero_variance
Tamir2012_selfdisclosure,A,0.6123724356957945,0.4743416490252569,0.724568837309472,40,1.0,1.0,40,40,0,0,0,1.0,paired_zero,0,
Tamir2012_selfdisclosure,B,0.9429903335828895,0.8948588252103892,0.9811557810392122,40,1.0,1.0,40,40,0,0,0,1.0,paired_zero,0,
Tversky1973_availability_letters,A,1.0,1.0,1.0,40,1.0,0.0,40,40,0,0,0,2.0,prop_vs_half,1,zero_variance
Tversky1973_availability_letters,B,1.0,1.0,1.0,32,0.8,0.8,32,40,0,8,0,1.0,prop_vs_half,1,zero_variance
Valdesolo2007_hypocrisy,A,0.8962581595302718,0.8945499085954717,0.9256379771978037,40,1.0,1.0,40,40,0,0,0,1.0,between,1,zero_variance
Valdesolo2007_hypocrisy,B,0.5773502691896257,0.420084025208403,0.7337993857053429,40,1.0,1.0,40,40,0,0,0,1.0,between,1,zero_variance
