effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Asch1946_warm_cold,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Chao2017_thankyou_gift,A,0.5,0.2294157338705618,0.7337993857053428,30,1.0,0.36666666666666664,20,30,0,0,0,3.0,phi,1,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,0.447213595499958,0.0,0.7977240352174656,28,0.9655172413793104,,18,29,1,1,1,1.0,phi,0,refusals=1;prose_refusals=1;custom_parser;n_offcontrast=10
Cooney2016_fairness,A,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Cooney2016_fairness,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Eyal2008_moral_distance,A,-0.6344514701998978,-0.820552724027144,-0.4033883509784965,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
Eyal2008_moral_distance,B,0.08944271909998956,-0.26832815729997417,0.42426406871192873,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
Genschow2017_free_will_attribution,A,0.7991378487706617,0.6148570976307951,0.9738654730841074,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
Genschow2017_free_will_attribution,B,0.6523425303173055,0.5067572291081908,0.805846299157799,29,0.9666666666666667,0.9666666666666667,29,30,0,1,0,1.0,between,0,
Husnu2010_imagined_contact,A,0.9967460348571966,0.995565388348689,0.9990128329281885,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Husnu2010_imagined_contact,B,0.9913842138080446,0.987829161147262,0.9974531521318053,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Klink2000_soundsymbolism,A,0.9974212519239557,0.9960238411119946,1.0,9,0.3,0.3,9,30,0,21,0,1.0,paired_zero,0,low_parse
Klink2000_soundsymbolism,B,,,,0,0.0,0.0,0,30,0,30,0,,paired_zero,0,low_parse
Knobe2003_side_effect,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Knobe2003_side_effect,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Miyamoto2002_correspondence_bias,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Oppenheimer2009_retrospective_gambler,A,0.7758748824364055,0.7231960676754646,0.918046557661388,30,1.0,1.0,20,30,0,0,0,1.0,between,1,n_offcontrast=10;zero_variance
Oppenheimer2009_retrospective_gambler,B,0.39658738431530866,0.22941573387056152,0.5966705783702613,30,1.0,1.0,20,30,0,0,0,1.0,between,0,n_offcontrast=10
Rottenstreich2001_affective_lottery,A,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Tamir2012_selfdisclosure,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,paired_zero,1,zero_variance
Tamir2012_selfdisclosure,B,0.7071067811865476,0.5669467095138409,0.823754471047914,28,0.9655172413793104,0.9655172413793104,28,29,1,1,0,1.0,paired_zero,0,refusals=1
Tversky1973_availability_letters,A,1.0,1.0,1.0,30,1.0,0.0,30,30,0,0,0,2.0,prop_vs_half,1,zero_variance
Tversky1973_availability_letters,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,prop_vs_half,1,zero_variance
Valdesolo2007_hypocrisy,A,0.9011551125709446,0.8944271909999159,0.9406469868801481,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Valdesolo2007_hypocrisy,B,-0.06726727939963144,-0.42532413366079685,0.28284271247461895,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
