effect,variant,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Asch1946_warm_cold,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Chao2017_thankyou_gift,A,0.7337993857053428,0.5,0.9045340337332909,30,1.0,0.7,20,30,0,0,0,3.0,phi,1,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,0.6123724356957945,0.21821789023599242,0.9045340337332909,30,1.0,,20,30,0,0,0,1.0,phi,0,custom_parser;n_offcontrast=10
Cooney2016_fairness,A,0.9284766908852593,0.8962581595302718,0.9684002494125046,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Cooney2016_fairness,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Eyal2008_moral_distance,A,-0.9128709291752769,-0.9537476351189642,-0.8767273318790255,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
Eyal2008_moral_distance,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Genschow2017_free_will_attribution,A,0.9850982576035551,0.9771013147315125,0.9960757337099883,30,1.0,1.0,30,30,0,0,0,1.0,between,0,
Genschow2017_free_will_attribution,B,0.4831894763946918,0.22201785389446632,0.8179927058261097,18,0.6,0.6,18,30,0,12,0,1.0,between,0,low_parse
Husnu2010_imagined_contact,A,0.98843377463871,0.9805806756909202,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Husnu2010_imagined_contact,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Klink2000_soundsymbolism,A,1.0,1.0,1.0,18,0.6,0.6,18,30,0,12,0,1.0,paired_zero,1,low_parse;zero_variance
Klink2000_soundsymbolism,B,,,,0,0.0,0.0,0,30,0,30,0,,paired_zero,0,low_parse
Knobe2003_side_effect,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Knobe2003_side_effect,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Miyamoto2002_correspondence_bias,B,0.9951564543852899,0.9899494936611666,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
Oppenheimer2009_retrospective_gambler,A,0.8203871616124726,0.7726674092862558,0.9066480137106283,30,1.0,1.0,20,30,0,0,0,1.0,between,1,n_offcontrast=10;zero_variance
Oppenheimer2009_retrospective_gambler,B,0.9488474727161108,0.9394895352248827,1.0,30,1.0,1.0,20,30,0,0,0,1.0,between,1,n_offcontrast=10;zero_variance
Rottenstreich2001_affective_lottery,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,phi,2,zero_variance
Tamir2012_selfdisclosure,A,0.894427190999916,0.8164965809277259,0.9660917830792959,30,1.0,1.0,30,30,0,0,0,1.0,paired_zero,0,
Tamir2012_selfdisclosure,B,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1.0,paired_zero,1,zero_variance
Tversky1973_availability_letters,A,1.0,1.0,1.0,30,1.0,0.0,30,30,0,0,0,2.0,prop_vs_half,1,zero_variance
Tversky1973_availability_letters,B,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,prop_vs_half,1,zero_variance
Valdesolo2007_hypocrisy,A,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1.0,between,2,zero_variance
Valdesolo2007_hypocrisy,B,0.8258595539429768,0.777705575548548,0.9169493006161777,30,1.0,1.0,30,30,0,0,0,1.0,between,1,zero_variance
